ORF	Length
YBL059W	582
YBL060W	2064
YBL061C	2091
YBL063W	3336
YBL064C	786
YBL066C	3447
YBL067C	2244
YBL068W	981
YBL069W	1290
YBL071C-B	99
YBL071W-A	249
YBL072C	603
YBL074C	1068
YBL075C	1950
YBL076C	3219
YBL078C	354
YBL079W	4509
YBL080C	1626
YBL081W	1107
YBL082C	1377
YBL084C	2277
YBL085W	2943
YBL086C	1401
YBL087C	414
YBL088C	8364
YBL089W	1380
YBL090W	534
YBL091C	1266
YBL091C-A	528
YBL092W	393
YBL093C	663
YBL095W	813
YBL097W	2265
YBL098W	1383
YBL099W	1638
YBL100W-C	120
YBL101C	3354
YBL102W	648
YBL103C	1461
YBL104C	3117
YBL105C	3456
YBL106C	3033
YBL107C	591
YBL108C-A	129
YBL111C	2004
YBL112C	318
YBL113C	2379
YBR001C	2343
YBR002C	861
YBR003W	1422
YBR004C	1302
YBR005W	642
YBR006W	1494
YBR007C	2211
YBR008C	1647
YBR009C	312
YBR010W	411
YBR011C	864
YBR013C	390
YBR014C	612
YBR015C	1794
YBR016W	387
YBR017C	2757
YBR018C	1101
YBR019C	2100
YBR020W	1587
YBR021W	1902
YBR022W	534
YBR023C	3498
YBR024W	906
YBR025C	1185
YBR026C	1143
YBR028C	1578
YBR029C	1374
YBR030W	1659
YBR031W	1089
YBR033W	2760
YBR034C	1047
YBR035C	687
YBR036C	1233
YBR037C	888
YBR038W	2892
YBR039W	936
YBR040W	897
YBR041W	2010
YBR042C	1194
YBR043C	2070
YBR044C	1719
YBR045C	1920
YBR046C	1005
YBR047W	528
YBR048W	471
YBR049C	2433
YBR050C	1017
YBR052C	633
YBR053C	1077
YBR054W	1035
YBR055C	2700
YBR056W	1506
YBR056W-A	201
YBR057C	1101
YBR058C	2346
YBR058C-A	243
YBR059C	3327
YBR060C	1863
YBR061C	933
YBR062C	543
YBR063C	1215
YBR065C	1095
YBR066C	663
YBR067C	633
YBR068C	1830
YBR069C	1860
YBR070C	714
YBR071W	636
YBR072C-A	162
YBR072W	645
YBR073W	2877
YBR074W	2931
YBR076W	1065
YBR077C	489
YBR078W	1290
YBR079C	2895
YBR080C	2277
YBR081C	3999
YBR082C	447
YBR083W	1461
YBR084C-A	570
YBR084W	2928
YBR085C-A	258
YBR085W	924
YBR086C	2841
YBR087W	1065
YBR088C	777
YBR089C-A	300
YBR090C	369
YBR091C	330
YBR092C	1404
YBR093C	1404
YBR094W	2262
YBR095C	1293
YBR096W	693
YBR097W	4365
YBR098W	2076
YBR101C	873
YBR102C	2262
YBR103W	1608
YBR104W	990
YBR105C	1089
YBR106W	567
YBR107C	738
YBR108W	2844
YBR109C	444
YBR110W	1350
YBR111C	696
YBR111W-A	291
YBR112C	2901
YBR114W	2373
YBR115C	4179
YBR117C	2046
YBR118W	1377
YBR119W	897
YBR120C	489
YBR121C	2004
YBR122C	534
YBR123C	1950
YBR125C	1182
YBR126C	1488
YBR126W-A	207
YBR127C	1554
YBR128C	1035
YBR129C	987
YBR130C	1278
YBR131W	2115
YBR132C	1791
YBR133C	2484
YBR135W	453
YBR136W	7107
YBR137W	540
YBR138C	1575
YBR139W	1527
YBR140C	9279
YBR141C	1014
YBR142W	2322
YBR143C	1314
YBR145W	1056
YBR146W	837
YBR147W	891
YBR148W	1830
YBR149W	1035
YBR150C	3285
YBR151W	951
YBR152W	876
YBR153W	735
YBR154C	648
YBR155W	1158
YBR156C	2097
YBR157C	768
YBR158W	1650
YBR159W	1044
YBR160W	897
YBR161W	1131
YBR162C	1368
YBR162W-A	198
YBR163W	1758
YBR164C	552
YBR165W	834
YBR166C	1359
YBR167C	423
YBR168W	1242
YBR169C	2082
YBR170C	1743
YBR171W	621
YBR172C	2223
YBR173C	447
YBR175W	948
YBR176W	939
YBR177C	1356
YBR179C	2568
YBR180W	1719
YBR181C	711
YBR182C	1359
YBR182C-A	195
YBR183W	951
YBR184W	1572
YBR185C	837
YBR186W	1695
YBR187W	843
YBR188C	423
YBR189W	588
YBR191W	483
YBR192W	1134
YBR193C	672
YBR194W	372
YBR195C	1269
YBR196C	1665
YBR196C-A	150
YBR196C-B	105
YBR197C	654
YBR198C	2397
YBR199W	1395
YBR200W	1656
YBR200W-A	165
YBR201C-A	204
YBR201W	636
YBR202W	2538
YBR203W	2775
YBR204C	1128
YBR205W	1215
YBR207W	1398
YBR208C	5508
YBR210W	429
YBR211C	975
YBR212W	2019
YBR213W	825
YBR214W	1584
YBR215W	1878
YBR216C	2025
YBR217W	561
YBR218C	3543
YBR219C	384
YBR220C	1683
YBR221C	1101
YBR221W-A	105
YBR222C	1632
YBR223C	1635
YBR225W	2703
YBR227C	1563
YBR228W	915
YBR229C	2865
YBR230C	405
YBR230W-A	201
YBR231C	912
YBR233W	1242
YBR233W-A	285
YBR234C	1155
YBR235W	3363
YBR236C	1311
YBR237W	2550
YBR238C	2196
YBR239C	1590
YBR240C	1353
YBR241C	1467
YBR242W	717
YBR243C	1347
YBR244W	489
YBR245C	3390
YBR246W	1164
YBR247C	1452
YBR248C	1659
YBR249C	1113
YBR250W	1572
YBR251W	924
YBR252W	444
YBR253W	366
YBR254C	528
YBR255C-A	363
YBR255W	2085
YBR256C	717
YBR257W	840
YBR258C	429
YBR259W	2067
YBR260C	2001
YBR261C	699
YBR262C	321
YBR263W	1473
YBR264C	600
YBR265W	963
YBR267W	1182
YBR268W	318
YBR269C	417
YBR270C	1638
YBR271W	1260
YBR272C	1443
YBR273C	1311
YBR274W	1584
YBR275C	5751
YBR276C	2424
YBR278W	606
YBR279W	1338
YBR280C	1914
YBR281C	2637
YBR282W	441
YBR283C	1473
YBR284W	2394
YBR285W	435
YBR286W	1614
YBR287W	1284
YBR288C	1452
YBR289W	2718
YBR290W	966
YBR291C	900
YBR293W	1425
YBR294W	2580
YBR295W	3651
YBR296C	1725
YBR296C-A	120
YBR297W	1407
YBR298C	1845
YBR298C-A	222
YBR299W	1755
YBR301W	363
YBR302C	1140
YCL001W	567
YCL001W-A	462
YCL001W-B	255
YCL002C	792
YCL004W	1566
YCL005W	771
YCL005W-A	222
YCL008C	1158
YCL009C	930
YCL010C	780
YCL011C	1284
YCL012C	405
YCL014W	4911
YCL016C	1143
YCL017C	1494
YCL018W	1095
YCL021W-A	378
YCL024W	3114
YCL025C	1902
YCL026C-A	582
YCL026C-B	582
YCL027W	1539
YCL028W	1218
YCL029C	1323
YCL030C	2400
YCL031C	894
YCL032W	1041
YCL033C	507
YCL034W	1065
YCL035C	333
YCL036W	1701
YCL037C	1305
YCL038C	1587
YCL039W	2238
YCL040W	1503
YCL042W	360
YCL043C	1569
YCL044C	1254
YCL045C	2283
YCL047C	777
YCL048W	1392
YCL048W-A	240
YCL049C	939
YCL050C	966
YCL051W	1752
YCL052C	1251
YCL054W	2526
YCL054W-A	87
YCL055W	1008
YCL056C	435
YCL057C-A	294
YCL057W	2139
YCL058C	459
YCL058W-A	342
YCL059C	951
YCL061C	3291
YCL063W	1272
YCL064C	1083
YCL066W	528
YCL067C	633
YCL068C	783
YCL069W	1377
YCL073C	1848
YCL074W	927
YCL075W	441
YCR002C	969
YCR003W	552
YCR004C	744
YCR005C	1383
YCR007C	720
YCR008W	1812
YCR009C	798
YCR010C	852
YCR011C	3150
YCR012W	1251
YCR014C	1749
YCR015C	954
YCR016W	873
YCR017C	2862
YCR018C	666
YCR019W	1092
YCR020C	648
YCR020C-A	267
YCR020W-B	237
YCR021C	999
YCR023C	1836
YCR024C	1479
YCR024C-A	123
YCR024C-B	267
YCR026C	2229
YCR027C	630
YCR028C	1539
YCR028C-A	408
YCR030C	2613
YCR031C	414
YCR032W	6504
YCR033W	3681
YCR034W	1044
YCR035C	1185
YCR036W	1002
YCR037C	2772
YCR038C	1929
YCR039C	633
YCR040W	528
YCR041W	333
YCR042C	4224
YCR043C	384
YCR044C	1074
YCR045C	1476
YCR046C	510
YCR047C	828
YCR048W	1833
YCR050C	309
YCR051W	669
YCR052W	1452
YCR053W	1545
YCR054C	1692
YCR057C	2772
YCR059C	777
YCR060W	336
YCR061W	1896
YCR063W	474
YCR065W	1695
YCR066W	1464
YCR067C	3198
YCR068W	1563
YCR069W	957
YCR071C	441
YCR072C	1548
YCR073C	3996
YCR073W-A	948
YCR075C	783
YCR075W-A	228
YCR076C	753
YCR077C	2391
YCR079W	1329
YCR081W	4284
YCR082W	387
YCR083W	384
YCR084C	2142
YCR086W	573
YCR087C-A	462
YCR088W	1779
YCR089W	4830
YCR090C	549
YCR091W	2163
YCR092C	3057
YCR093W	6327
YCR094W	1176
YCR095C	1089
YCR095W-A	159
YCR096C	360
YCR097W	381
YCR098C	1557
YCR099C	468
YCR100C	951
YCR101C	549
YCR102C	1107
YCR104W	375
YCR105W	1086
YCR106W	2499
YCR107W	1092
YCR108C	192
YDL001W	1293
YDL002C	612
YDL003W	1701
YDL004W	483
YDL005C	1296
YDL006W	846
YDL007C-A	258
YDL007W	1314
YDL008W	498
YDL009C	324
YDL010W	696
YDL012C	324
YDL013W	1860
YDL014W	984
YDL015C	933
YDL017W	1524
YDL018C	678
YDL019C	3852
YDL020C	1596
YDL021W	936
YDL022C-A	249
YDL022W	1176
YDL024C	1407
YDL025C	1863
YDL027C	1263
YDL028C	2295
YDL029W	1176
YDL030W	1593
YDL031W	2988
YDL033C	1254
YDL035C	2886
YDL036C	1389
YDL037C	987
YDL039C	2097
YDL040C	2565
YDL042C	1689
YDL043C	801
YDL044C	1323
YDL045C	921
YDL045W-A	288
YDL046W	522
YDL047W	936
YDL048C	1473
YDL049C	807
YDL051W	828
YDL052C	912
YDL053C	558
YDL054C	1461
YDL055C	1086
YDL056W	2502
YDL057W	987
YDL058W	5373
YDL059C	717
YDL060W	2367
YDL061C	171
YDL063C	1863
YDL064W	474
YDL065C	1029
YDL066W	1287
YDL067C	180
YDL069C	690
YDL070W	1917
YDL072C	612
YDL073W	2955
YDL074C	2103
YDL075W	342
YDL076C	885
YDL077C	3150
YDL078C	1032
YDL079C	1506
YDL080C	1830
YDL081C	321
YDL082W	600
YDL083C	432
YDL084W	1341
YDL085C-A	207
YDL085W	1638
YDL086W	822
YDL087C	786
YDL088C	1587
YDL089W	1455
YDL090C	1296
YDL091C	1368
YDL092W	441
YDL093W	2232
YDL095W	2454
YDL097C	1305
YDL098C	585
YDL099W	1026
YDL100C	1065
YDL101C	1542
YDL102W	3294
YDL103C	1434
YDL104C	1224
YDL105W	1209
YDL106C	1680
YDL107W	1056
YDL108W	921
YDL109C	1944
YDL110C	453
YDL111C	798
YDL112W	4311
YDL113C	1923
YDL114W	927
YDL115C	1062
YDL116W	2181
YDL117W	2658
YDL119C	924
YDL120W	525
YDL121C	450
YDL122W	2430
YDL123W	423
YDL124W	939
YDL125C	477
YDL126C	2508
YDL127W	927
YDL128W	1236
YDL129W	876
YDL130W	321
YDL130W-A	261
YDL131W	1323
YDL132W	2448
YDL133C-A	78
YDL133W	1314
YDL134C	1110
YDL135C	609
YDL136W	363
YDL137W	546
YDL138W	2292
YDL139C	672
YDL140C	5202
YDL141W	2073
YDL142C	852
YDL143W	1587
YDL144C	1071
YDL145C	3606
YDL146W	1476
YDL147W	1338
YDL148C	2433
YDL149W	2994
YDL150W	1269
YDL153C	1833
YDL154W	2706
YDL155W	1284
YDL156W	1569
YDL157C	357
YDL159W	1548
YDL159W-A	132
YDL160C	1521
YDL160C-A	243
YDL161W	1365
YDL164C	2268
YDL165W	576
YDL166C	594
YDL167C	2160
YDL168W	1161
YDL169C	672
YDL170W	1587
YDL171C	6438
YDL173W	888
YDL174C	1764
YDL175C	1035
YDL176W	2127
YDL177C	513
YDL178W	1593
YDL179W	915
YDL180W	1644
YDL181W	258
YDL182W	1287
YDL183C	963
YDL184C	78
YDL185W	3216
YDL186W	834
YDL188C	1134
YDL189W	1374
YDL190C	2886
YDL191W	363
YDL192W	546
YDL193W	1128
YDL194W	2655
YDL195W	3822
YDL197C	1578
YDL198C	903
YDL199C	2064
YDL200C	567
YDL201W	861
YDL202W	750
YDL203C	1872
YDL204W	1182
YDL205C	984
YDL206W	2289
YDL207W	1617
YDL208W	471
YDL209C	1020
YDL210W	1716
YDL211C	1119
YDL212W	633
YDL213C	678
YDL214C	2100
YDL215C	3279
YDL216C	1323
YDL217C	624
YDL218W	954
YDL219W	453
YDL220C	2775
YDL222C	930
YDL223C	3141
YDL224C	1950
YDL225W	1656
YDL226C	1059
YDL227C	1761
YDL229W	1842
YDL230W	1008
YDL231C	3378
YDL232W	111
YDL233W	1377
YDL234C	2241
YDL235C	504
YDL236W	939
YDL237W	1173
YDL238C	1470
YDL239C	2373
YDL240W	3054
YDL241W	372
YDL243C	990
YDL244W	1023
YDL245C	1704
YDL246C	1074
YDL247W	1830
YDL248W	1152
YDR001C	2256
YDR002W	606
YDR003W	633
YDR003W-A	123
YDR004W	1383
YDR005C	1188
YDR006C	2706
YDR007W	675
YDR009W	1563
YDR011W	4506
YDR012W	1089
YDR013W	627
YDR014W	1944
YDR014W-A	489
YDR016C	285
YDR017C	3153
YDR018C	1191
YDR019C	1203
YDR020C	699
YDR021W	1200
YDR022C	591
YDR023W	1389
YDR025W	471
YDR026C	1713
YDR027C	2670
YDR028C	3045
YDR030C	1521
YDR031W	366
YDR032C	597
YDR033W	963
YDR034C	2373
YDR034C-A	177
YDR034W-B	156
YDR035W	1113
YDR036C	1503
YDR037W	1776
YDR038C	3276
YDR039C	3276
YDR040C	3276
YDR041W	612
YDR042C	603
YDR043C	696
YDR044W	987
YDR045C	333
YDR046C	1815
YDR047W	1089
YDR049W	1899
YDR050C	747
YDR051C	1005
YDR052C	2115
YDR054C	888
YDR055W	1335
YDR056C	618
YDR057W	1629
YDR058C	981
YDR059C	447
YDR060W	3078
YDR061W	1620
YDR062W	1686
YDR063W	450
YDR064W	456
YDR065W	1098
YDR066C	591
YDR067C	675
YDR068W	933
YDR069C	2781
YDR070C	282
YDR071C	576
YDR072C	1584
YDR073W	510
YDR074W	2691
YDR075W	927
YDR076W	1221
YDR077W	1017
YDR078C	672
YDR079C-A	219
YDR079W	336
YDR080W	2979
YDR081C	2778
YDR082W	1485
YDR083W	1179
YDR084C	600
YDR085C	1863
YDR086C	243
YDR087C	837
YDR088C	1149
YDR089W	2610
YDR090C	933
YDR091C	1827
YDR092W	462
YDR093W	4839
YDR096W	2685
YDR097C	3729
YDR098C	753
YDR099W	822
YDR100W	432
YDR101C	1782
YDR103W	2754
YDR104C	3738
YDR105C	1422
YDR106W	855
YDR107C	2019
YDR108W	2097
YDR109C	2148
YDR110W	1701
YDR111C	1524
YDR113C	1122
YDR114C	303
YDR115W	318
YDR116C	858
YDR117C	1698
YDR118W	1959
YDR119W	2307
YDR119W-A	201
YDR120C	1713
YDR121W	591
YDR122W	3195
YDR123C	915
YDR124W	975
YDR125C	1362
YDR126W	1011
YDR127W	4767
YDR128W	3447
YDR129C	1929
YDR130C	876
YDR131C	1671
YDR132C	1488
YDR134C	411
YDR135C	4548
YDR137W	1992
YDR138W	2259
YDR139C	234
YDR140W	666
YDR141C	5097
YDR142C	1128
YDR143C	1833
YDR144C	1791
YDR145W	1620
YDR146C	2130
YDR147W	1605
YDR148C	1392
YDR150W	8247
YDR151C	978
YDR152W	798
YDR153C	1236
YDR155C	489
YDR156W	414
YDR158W	1098
YDR159W	3906
YDR160W	2559
YDR161W	1164
YDR162C	711
YDR163W	528
YDR164C	2175
YDR165W	1335
YDR166C	2916
YDR167W	621
YDR168W	1521
YDR169C	1542
YDR169C-A	150
YDR170C	6030
YDR171W	1128
YDR172W	2058
YDR173C	1068
YDR174W	741
YDR175C	960
YDR176W	2109
YDR177W	648
YDR178W	546
YDR179C	489
YDR179W-A	1392
YDR180W	4482
YDR181C	1446
YDR182W	1476
YDR182W-A	204
YDR183W	693
YDR184C	885
YDR185C	540
YDR186C	2634
YDR188W	1641
YDR189W	2001
YDR190C	1392
YDR191W	1113
YDR192C	1293
YDR194C	1995
YDR194W-A	153
YDR195W	1602
YDR196C	726
YDR197W	1170
YDR198C	1440
YDR200C	1815
YDR201W	498
YDR202C	1056
YDR204W	1008
YDR205W	2175
YDR206W	2655
YDR207C	2511
YDR208W	2340
YDR210W	228
YDR211W	2139
YDR212W	1680
YDR213W	2742
YDR214W	1053
YDR216W	3972
YDR217C	3930
YDR218C	1272
YDR219C	1398
YDR221W	2109
YDR222W	1248
YDR223W	1404
YDR224C	396
YDR225W	399
YDR226W	669
YDR227W	4077
YDR228C	1881
YDR229W	1362
YDR231C	618
YDR232W	1647
YDR233C	888
YDR234W	2082
YDR235W	1635
YDR236C	657
YDR237W	879
YDR238C	2922
YDR239C	2364
YDR240C	1479
YDR242W	1650
YDR243C	1767
YDR244W	1839
YDR245W	1182
YDR246W	660
YDR246W-A	201
YDR247W	1386
YDR248C	582
YDR249C	1122
YDR251W	2493
YDR252W	450
YDR253C	576
YDR254W	1377
YDR255C	1266
YDR256C	1548
YDR257C	1485
YDR258C	2436
YDR259C	1152
YDR260C	513
YDR261C	1689
YDR262W	819
YDR263C	1293
YDR264C	2295
YDR265W	1014
YDR266C	1920
YDR267C	993
YDR268W	1140
YDR270W	3015
YDR272W	825
YDR273W	1098
YDR275W	708
YDR276C	168
YDR277C	1302
YDR279W	1053
YDR280W	918
YDR281C	315
YDR282C	1245
YDR283C	4980
YDR284C	870
YDR285W	2628
YDR286C	345
YDR287W	879
YDR288W	912
YDR289C	1230
YDR291W	3234
YDR292C	1866
YDR293C	3753
YDR294C	1770
YDR295C	2025
YDR296W	681
YDR297W	1050
YDR298C	639
YDR299W	1605
YDR300C	1287
YDR301W	4074
YDR302W	660
YDR303C	2658
YDR304C	678
YDR305C	654
YDR306C	1437
YDR307W	1989
YDR308C	423
YDR309C	1152
YDR310C	3189
YDR311W	1929
YDR312W	1362
YDR313C	861
YDR314C	2079
YDR315C	846
YDR316W	1416
YDR317W	1245
YDR318W	1107
YDR319C	825
YDR320C	2007
YDR320C-A	219
YDR321W	1146
YDR322C-A	291
YDR322W	1104
YDR323C	1548
YDR324C	2331
YDR325W	3108
YDR326C	4317
YDR328C	585
YDR329C	1326
YDR330W	1503
YDR331W	1236
YDR332W	2070
YDR333C	2172
YDR334W	4545
YDR335W	3675
YDR336W	945
YDR337W	861
YDR338C	2088
YDR339C	570
YDR341C	1824
YDR342C	1713
YDR343C	1713
YDR345C	1704
YDR346C	1446
YDR347W	966
YDR348C	1500
YDR349C	1791
YDR350C	2055
YDR351W	2595
YDR352W	954
YDR353W	960
YDR354W	1143
YDR356W	2835
YDR357C	369
YDR358W	1674
YDR359C	2949
YDR361C	852
YDR362C	2019
YDR363W	1371
YDR363W-A	270
YDR364C	1368
YDR365C	1887
YDR366C	399
YDR367W	666
YDR368W	939
YDR369C	2565
YDR370C	1329
YDR371W	1536
YDR372C	1038
YDR373W	573
YDR374C	921
YDR374W-A	270
YDR375C	1371
YDR376W	1482
YDR377W	306
YDR378C	261
YDR379C-A	240
YDR379W	3030
YDR380W	1908
YDR381C-A	345
YDR381W	681
YDR382W	333
YDR383C	717
YDR384C	828
YDR385W	2529
YDR386W	1899
YDR387C	1668
YDR388W	1449
YDR389W	1965
YDR390C	1911
YDR391C	699
YDR392W	1014
YDR393W	1371
YDR394W	1287
YDR395W	2835
YDR397C	441
YDR398W	1932
YDR399W	666
YDR400W	1023
YDR402C	1470
YDR403W	1611
YDR404C	516
YDR405W	792
YDR406W	4590
YDR407C	3870
YDR408C	645
YDR409W	2715
YDR410C	720
YDR411C	1026
YDR412W	708
YDR414C	1089
YDR415C	1125
YDR416W	2580
YDR418W	498
YDR419W	1899
YDR420W	5409
YDR421W	2853
YDR422C	2448
YDR423C	1230
YDR424C	279
YDR425W	1878
YDR427W	1182
YDR428C	786
YDR429C	825
YDR430C	2970
YDR432W	1245
YDR434W	1605
YDR435C	987
YDR436W	2133
YDR437W	423
YDR438W	1113
YDR439W	1044
YDR440W	1749
YDR441C	546
YDR443C	4263
YDR444W	2064
YDR446W	909
YDR447C	411
YDR448W	1305
YDR449C	1323
YDR450W	441
YDR451C	1062
YDR452W	2025
YDR453C	591
YDR454C	564
YDR456W	1902
YDR457W	9807
YDR458C	1992
YDR459C	1125
YDR460W	966
YDR461C-A	243
YDR461W	111
YDR462W	444
YDR463W	1560
YDR464W	4308
YDR465C	1239
YDR466W	2697
YDR468C	675
YDR469W	528
YDR470C	1509
YDR471W	411
YDR472W	852
YDR473C	1410
YDR475C	2631
YDR476C	675
YDR477W	1902
YDR478W	597
YDR479C	1665
YDR480W	972
YDR481C	1701
YDR482C	408
YDR483W	1329
YDR484W	1926
YDR485C	2388
YDR486C	690
YDR487C	627
YDR488C	1602
YDR489W	885
YDR490C	2301
YDR492W	951
YDR493W	372
YDR494W	1086
YDR495C	3036
YDR496C	1971
YDR497C	1755
YDR498C	1152
YDR499W	2244
YDR500C	267
YDR501W	1566
YDR502C	1155
YDR503C	825
YDR504C	384
YDR505C	2526
YDR506C	1827
YDR507C	3429
YDR508C	1992
YDR510W	306
YDR511W	402
YDR512C	564
YDR513W	432
YDR514C	1452
YDR515W	1344
YDR516C	1503
YDR517W	1119
YDR518W	1554
YDR519W	408
YDR520C	2319
YDR522C	1509
YDR523C	1473
YDR524C	1449
YDR524C-B	201
YDR524W-C	90
YDR525W-A	240
YDR527W	1320
YDR528W	1272
YDR529C	384
YDR530C	978
YDR531W	1104
YDR532C	1158
YDR533C	714
YDR534C	1587
YDR536W	1710
YDR538W	729
YDR539W	1512
YDR540C	540
YDR541C	1035
YDR542W	363
YDR545W	5391
YEL001C	678
YEL002C	1293
YEL003W	336
YEL004W	1029
YEL005C	849
YEL006W	1008
YEL007W	2001
YEL009C	846
YEL011W	2115
YEL012W	657
YEL013W	1737
YEL015W	1656
YEL016C	1482
YEL017C-A	132
YEL017W	1014
YEL018W	840
YEL019C	804
YEL020C	1683
YEL020W-A	264
YEL021W	804
YEL022W	4380
YEL023C	2049
YEL024W	648
YEL025C	3567
YEL026W	381
YEL027W	483
YEL029C	939
YEL030W	1935
YEL031W	3648
YEL032W	2916
YEL033W	420
YEL034W	474
YEL035C	501
YEL036C	1503
YEL037C	1197
YEL038W	684
YEL039C	342
YEL040W	1404
YEL041W	1488
YEL042W	1557
YEL043W	2871
YEL044W	501
YEL046C	1164
YEL047C	1413
YEL048C	459
YEL049W	363
YEL050C	1182
YEL051W	771
YEL052W	1530
YEL053C	2202
YEL054C	498
YEL055C	3069
YEL056W	1206
YEL057C	702
YEL058W	1674
YEL059C-A	225
YEL060C	1908
YEL061C	3003
YEL062W	1848
YEL063C	1773
YEL064C	1443
YEL065W	1887
YEL066W	540
YEL067C	588
YEL068C	333
YEL069C	1695
YEL070W	1509
YEL071W	1491
YEL072W	696
YEL073C	324
YEL075C	369
YEL076C	651
YEL076C-A	651
YEL077C	3834
YER001W	2289
YER002W	696
YER003C	1290
YER004W	696
YER005W	1893
YER006W	1563
YER007C-A	546
YER007W	1557
YER008C	4011
YER009W	378
YER010C	705
YER011W	765
YER012W	597
YER013W	3438
YER014C-A	462
YER014W	1620
YER015W	2235
YER016W	1035
YER017C	2286
YER018C	666
YER019C-A	267
YER019W	1434
YER020W	1350
YER021W	1572
YER022W	2064
YER023W	861
YER024W	2772
YER025W	1584
YER026C	831
YER027C	1254
YER028C	1185
YER029C	591
YER030W	462
YER031C	672
YER032W	2631
YER033C	3231
YER034W	558
YER035W	438
YER036C	1833
YER037W	966
YER038C	1395
YER038W-A	381
YER039C	750
YER039C-A	219
YER040W	2193
YER041W	2280
YER042W	555
YER043C	1350
YER044C	447
YER044C-A	1227
YER045C	1470
YER046W	432
YER047C	2694
YER048C	1176
YER048W-A	285
YER049W	1935
YER050C	417
YER051W	1479
YER052C	1584
YER053C	903
YER053C-A	114
YER054C	1647
YER055C	894
YER056C	1602
YER056C-A	366
YER057C	390
YER058W	324
YER059W	1263
YER060W	1587
YER060W-A	1593
YER061C	1329
YER062C	753
YER063W	657
YER064C	1518
YER065C	1674
YER066W	558
YER067W	486
YER068W	1764
YER069W	2592
YER070W	2667
YER071C	381
YER072W	390
YER073W	1563
YER074W	408
YER074W-A	258
YER075C	2787
YER076C	909
YER077C	2067
YER078C	1536
YER078W-A	165
YER079W	633
YER080W	1884
YER081W	1410
YER082C	1665
YER083C	858
YER084W	387
YER085C	522
YER086W	1731
YER087C-B	249
YER087W	1731
YER088C	2013
YER089C	1395
YER090W	1524
YER091C	2304
YER092W	378
YER093C	4293
YER093C-A	414
YER094C	618
YER095W	1203
YER096W	1539
YER098W	2265
YER099C	957
YER100W	753
YER101C	1293
YER102W	603
YER103W	1929
YER104W	627
YER105C	4176
YER106W	909
YER107C	1098
YER109C	2400
YER110C	3342
YER111C	3282
YER112W	564
YER113C	2121
YER114C	3123
YER115C	576
YER116C	825
YER117W	414
YER118C	1104
YER119C	1347
YER120W	735
YER121W	345
YER122C	1482
YER123W	1575
YER124C	1722
YER125W	2430
YER126C	786
YER127W	1074
YER128W	612
YER129W	3429
YER130C	1332
YER131W	360
YER132C	5262
YER133W	939
YER134C	537
YER136W	1356
YER137C	447
YER138W-A	105
YER139C	681
